Nationality,Male,0
American,M,3622
German,M,721
French,M,685
British,M,644
Italian,M,426
Japanese,M,392
Swiss,M,221
Russian,M,206
Dutch,M,205
Austrian,M,182
American,F,1097
German,F,148
British,F,113
French,F,69
Japanese,F,58
Austrian,F,43
Italian,F,41
Canadian,F,41
Brazilian,F,41
Russian,F,39
American,Non-Binary,2
British,Non-Binary,1
